Suburb House  Medians Stats  Book Report 2015,,,,,,,,,,,,,,,
RINGWOOD NORTH,365000,396000,454500,440500,489000,581500,569000,564000,631500,662000,781000,800000,18,114,7.9
RIPPLESIDE,303000,348000,402000,406500,390000,717500,510000,420000,590000,525000,582000,502500,11,92,6.7
RIPPONLEA,494000,705000,705000,1020000,775000,1325000,830000,967500,845000,977500,1400000,NA,43,183,11
ROBINVALE,142000,135000,180000,180000,186500,145000,138000,179000,150000,160000,181500,157500,13,28,2.5
ROCHESTER,165000,180000,178000,184000,175000,155000,185000,210000,189500,215000,234000,195000,9,42,3.6
ROCKBANK,197500,180000,189000,237500,215000,237000,251000,262000,330000,280000,211000,173000,-25,7,0.7
ROMSEY,235000,274500,254000,284000,302500,350000,363000,367500,387500,392000,420000,430000,7,79,6
ROSANNA,395000,428500,526500,595000,588000,695500,727500,652500,717000,781500,915000,830000,17,132,8.8
ROSEBUD,236000,236500,255000,290000,310000,355000,360000,350000,367000,365000,388000,410500,6,64,5.1
ROSEBUD SOUTH,278500,293000,299500,370000,347500,420000,460000,450000,425000,500000,514500,539000,3,85,6.3
ROSEBUD WEST,237000,233000,271000,293000,305000,355000,372500,330000,350000,365000,390000,400000,7,65,5.1
ROSEDALE,165000,130000,160000,174500,165000,185000,189000,209000,215000,210000,175000,240000,-17,6,0.6
ROWVILLE,341500,360000,403500,439500,467000,537500,527000,530000,569000,617500,710000,720000,15,108,7.6
ROXBURGH PARK,275000,277000,280000,295000,340000,371000,360000,355000,365000,380000,404000,406500,6,47,3.9
RUPANYUP,88000,68000,77000,75000,54500,129000,100000,127000,75000,105000,50000,NA,-52,-43,-5.5
RUSHWORTH,130000,143000,153500,151500,150000,147500,155000,190000,161000,158000,177000,NA,12,36,3.1
RUTHERGLEN,179000,200000,195000,201500,176000,175000,207000,235000,239000,195000,228500,232000,17,28,2.5
RYE,275000,285000,330000,357500,380000,435500,440000,422000,425000,460000,489000,518000,6,78,5.9
SAFETY BEACH,400000,385000,412500,446000,406500,495000,553000,550000,515000,522500,585000,580000,12,46,3.9
SAILORS GULLY,182500,180000,165000,210500,192500,213500,265000,257500,253000,262500,235000,225000,-10,29,2.6
SALE,199000,210000,230000,253000,250000,275000,291500,273500,290000,300000,299500,312000,0,51,4.2
SAN REMO,315000,285000,385000,352000,362000,445000,411000,402500,410000,407000,420000,490000,3,33,2.9
SANCTUARY LAKES,399000,416000,418000,480000,456500,470000,475000,512500,480000,439000,482000,503500,10,21,1.9
SANDHURST,295000,300000,450000,521000,353500,440000,504500,510000,545000,548500,619000,626500,13,110,7.7
SANDRINGHAM,722500,811000,926000,1040000,1027000,1200000,1102000,1090000,1182500,1305000,1490000,1224500,14,106,7.5
SANDY POINT,252500,320000,275000,288500,300000,338000,375000,355000,352500,380000,370000,355000,-3,47,3.9
SASSAFRAS,318500,318000,360000,450000,427500,507000,497500,397500,632500,556000,562000,695000,1,76,5.8
SCORESBY,280000,297000,347000,370000,396000,488000,472000,480500,510000,570000,660000,672000,16,136,9
SEA LAKE,65000,84500,73000,77000,65000,62500,112000,65000,80000,75000,95000,79500,27,46,3.9
SEABROOK,260000,266000,295000,322000,350000,415000,407500,403500,422500,400000,456000,481500,14,75,5.8
SEAFORD,250500,272000,317000,333500,355000,412500,410000,392500,418500,450000,470000,510000,4,88,6.5
SEAHOLME,370500,411500,436500,515000,663000,565000,630000,600000,641000,670000,815000,830000,22,120,8.2
SEASPRAY,141500,130000,150000,180000,145000,239000,165000,192500,152000,164000,240000,165000,46,70,5.4
SEBASTOPOL,182000,180000,186500,200000,212000,226000,228000,240000,241000,235500,243000,235000,3,34,2.9
SEDDON,353000,376000,471000,509000,515000,645500,620500,670000,675000,730000,835000,795000,14,137,9
SELBY,270000,300000,300500,309000,385000,407000,421500,410000,420000,445000,469500,397500,5,74,5.7
SEVILLE,253000,255000,283000,308500,335500,385000,378000,380000,400000,397500,450000,393500,13,78,5.9
SEVILLE EAST,215000,248500,238000,255000,317500,342500,364500,342500,339500,350000,395000,465000,13,84,6.3
SEYMOUR,165000,185000,180000,185000,185000,215000,190000,220000,220000,213000,223500,237000,5,35,3.1
SHEPPARTON,210000,233500,231000,231000,229000,251000,242500,240000,246500,243000,250000,261000,3,19,1.8
SHOREHAM,402500,510000,760000,555000,652000,572000,585000,618000,607000,620000,886500,NA,43,120,8.2
SILVAN,235500,284500,332000,470000,310000,403500,361000,417000,446500,415000,480000,525000,16,104,7.4
SILVERLEAVES,350000,396000,373000,360000,390000,497500,500000,505000,508000,460500,484000,690000,5,38,3.3
SKENES CREEK,345000,460000,330000,360000,450000,500000,370000,532500,465000,435000,482500,NA,11,40,3.4
SKYE,262500,280000,289000,320000,330000,370000,385000,390000,395000,413000,428500,450000,4,63,5
SMITHS BEACH,338000,280000,355000,350000,325000,442500,380000,430000,372500,390000,450000,388000,15,33,2.9
SOLDIERS HILL,195500,222000,220000,221000,227500,265500,277000,292500,283000,341000,310000,378000,-9,58,4.7
SOMERS,388500,380000,435000,430500,497500,615000,615000,692500,660000,760000,696500,719000,-8,79,6
SOMERVILLE,238000,257000,265000,300000,325500,370000,373500,361000,385000,397500,425000,412500,7,79,6
SORRENTO,590000,580000,655000,745000,680000,850000,900000,730000,770000,795000,859000,1000000,8,46,3.8
SOUTH DUDLEY,187000,156500,190000,216000,210000,235500,230000,216500,192000,191000,197500,NA,3,6,0.5
SOUTH GEELONG,255500,297500,301500,310000,384500,420000,382500,430000,420500,470000,436000,561000,-7,71,5.5
SOUTH KINGSVILLE,340000,395000,442000,495000,509000,635500,610000,635000,619000,671000,742000,810000,11,118,8.1
SOUTH MELBOURNE,648000,604000,751500,822500,918500,759500,615000,910000,1027500,1200000,1280000,1390000,7,98,7
SOUTH MORANG,318000,327000,325000,341500,362500,410000,410000,420000,415000,420000,450000,456500,7,42,3.5
SOUTH YARRA,791000,835000,957500,905500,1100000,750000,935000,836500,1165000,1412500,1700000,1185000,20,115,8
SPOTSWOOD,342000,391000,501000,500000,507000,635000,602500,640000,680000,640000,804000,570000,26,135,8.9
SPRING GULLY,247500,246000,235000,247500,295500,294000,320000,340000,345000,350000,350000,343500,0,41,3.5
SPRINGVALE,245000,270000,303000,360000,407500,490000,470000,446500,450500,530000,642500,641000,21,162,10.1
SPRINGVALE SOUTH,270000,270500,300000,346500,371000,450500,420000,408000,430000,475000,562000,567500,18,108,7.6
ST ALBANS,220000,217000,240000,278000,310000,385000,388000,348000,350000,374500,427000,447500,14,94,6.9
ST ALBANS PARK,228000,235000,244500,250000,266000,298000,310000,307500,335000,330000,329000,345000,0,44,3.7
ST ANDREWS BEACH,310000,352500,393500,408000,522500,495000,550000,714000,480000,495000,550000,700000,11,77,5.9
ST ARNAUD,102500,107000,104000,120000,125000,135000,125000,123000,140000,145000,141000,139500,-3,38,3.2
ST HELENA,411000,445000,415000,493000,490500,562000,570000,556000,612500,623000,711000,712500,14,73,5.6
ST KILDA,550000,620000,755000,810000,804500,690500,746000,840000,655000,1212500,1155000,707500,-5,110,7.7
ST KILDA EAST,557500,642000,856000,837500,857000,1000000,962500,993000,1050500,1050000,1367500,1558000,30,145,9.4
ST KILDA WEST,795000,1036000,1085000,1132500,1360000,1925000,1700000,1262500,1142500,2235000,1955500,2320000,-13,146,9.4
ST LEONARDS,249000,270000,259000,290000,285000,350000,389000,363000,350000,362500,375000,381500,4,51,4.2
STANHOPE,116000,121000,165000,126500,133000,160000,152000,175000,150000,131000,152500,95000,17,31,2.8
STAWELL,138000,145500,143500,143000,145000,155000,147000,167000,162500,172500,177000,150000,2,28,2.5
STRATFORD,175000,171500,210000,185000,230000,207500,242500,267500,230000,261500,260500,277000,0,49,4.1
STRATHDALE,260000,253500,260000,266000,295000,330000,369500,361000,392500,380000,410500,412000,8,58,4.7
STRATHFIELDSAYE,272500,285000,285000,276500,305000,357000,370000,359000,377000,397500,406500,416000,2,49,4.1
STRATHMERTON,90000,151000,182500,125000,150000,165000,107500,164500,166000,172500,185000,178000,7,106,7.5
STRATHMORE,525000,510000,590000,715000,738000,870000,812500,800000,825000,870000,992500,1136500,14,89,6.6
STRATHMORE HEIGHTS,382500,348000,420000,435000,466500,598500,700000,605000,621000,640000,712500,445500,11,86,6.4
STUDFIELD,291000,315500,380000,410000,428500,515500,472000,480500,535000,617500,781000,790000,26,169,10.4
SUNBURY,244000,243000,255000,261000,297000,343000,360000,350000,354000,360000,370000,367500,3,51,4.2
SUNDERLAND BAY,212500,253500,273000,267500,257000,315000,280000,265000,324500,337000,287000,NA,-15,35,3.1
SUNSET STRIP,208000,222000,209000,231000,250000,286000,286500,286500,301500,310000,300000,344500,-3,44,3.7
SUNSHINE,240000,242000,302500,340000,388000,455000,430000,400000,435000,479000,537500,615000,12,124,8.4
SUNSHINE NORTH,230000,233500,257000,320000,360000,425000,417500,396500,400000,425500,500000,542000,18,117,8.1
SUNSHINE WEST,235000,241000,258000,300000,344000,400000,393000,375000,379000,391000,470000,460000,20,100,7.2
SURF BEACH,225000,253000,250000,271000,289000,332000,350000,350000,375000,360000,355000,430000,-1,58,4.7
SURREY HILLS,650000,715000,990000,930000,1007500,1200000,1210000,1121500,1323000,1442500,1750000,1820000,21,169,10.4
SWAN HILL,193500,210000,207000,210000,235500,230000,225000,225000,225000,230000,248500,295000,8,29,2.5
SYDENHAM,266500,275000,300000,315000,366500,388000,420000,415000,425000,415000,442000,447500,7,66,5.2
SYNDAL,465000,486000,650000,693000,760000,860500,850000,784000,950000,1160000,1525000,790000,31,228,12.6
TALLANGATTA,160000,164500,199500,165000,181000,186000,175000,185000,154000,200000,233000,191500,16,46,3.8
TANGAMBALANGA,225000,257500,230000,235000,220000,245000,235000,177500,272500,253000,215000,NA,-15,-4,-0.5
TARNEIT,272500,278000,292000,298000,325000,360000,369000,356000,371000,395000,400000,405000,1,47,3.9
TATURA,183500,201000,199000,200000,195000,220000,215000,229500,222500,237500,233000,270500,-2,27,2.4
TAWONGA SOUTH,167000,213000,242000,242500,245000,216000,230000,255000,219500,235000,255000,325000,9,53,4.3
TAYLORS HILL,290000,304500,317500,345500,375500,425000,420000,480000,487500,510000,530000,565000,4,83,6.2
TAYLORS LAKES,320000,331500,350000,395000,420000,467500,500000,477500,489000,510000,572500,558000,12,79,6
TECOMA,276500,282500,320000,368000,375000,400000,427500,412000,415000,478000,510000,550000,7,85,6.3
TEMPLESTOWE,495000,555000,636000,700000,722500,803500,802000,811000,865000,950000,1138000,1214000,20,130,8.7
TEMPLESTOWE LOWER,422000,437000,552000,585000,630000,726000,711000,669000,750000,827000,1044000,1010000,26,147,9.5
TERANG,153500,180000,155000,163000,153500,179000,160000,155000,161500,195000,206500,150000,6,35,3
THE BASIN,265000,280500,327000,340000,370000,430000,400000,410000,430000,464500,550000,490000,18,108,7.6
THE PATCH,310000,312500,310000,415000,390000,437500,470000,417500,407000,486500,505000,625000,4,63,5
THOMASTOWN,256000,260500,280000,323000,350000,416000,400000,364500,390000,419000,436000,420000,4,70,5.5
THOMSON (GEELONG),184500,185000,199500,205000,215000,280000,281500,275000,281000,290000,289000,304000,0,57,4.6
THORNBURY,396500,439000,546000,570000,602500,715500,685000,712500,729000,840000,920000,976000,10,132,8.8
TIMBOON,160000,258000,216500,163500,202500,187000,211500,212500,184000,210000,240000,230000,14,50,4.1
TONGALA,142000,152000,165000,179000,158500,157000,154000,175000,185000,179000,157500,279000,-12,11,1
TOONGABBIE,135500,159500,185000,196000,221000,260000,230000,212500,234000,261500,235000,215000,-10,73,5.7
TOORA,162500,177500,165000,150000,155000,175000,220000,210000,165000,155000,235000,279000,52,45,3.8
TOORADIN,225000,265000,250000,308500,320000,420000,365000,380000,420000,480000,472000,NA,-2,110,7.7
TOORAK,1750000,2141500,2615000,2610000,2710000,2525000,2610000,2852500,2875000,3325000,3850000,3310000,16,120,8.2
TOOTGAROOK,230000,248500,275000,311500,315000,370000,373500,390000,387000,402500,402500,450000,0,75,5.8
TORQUAY,380000,390000,440000,492000,475000,532500,561500,565000,580000,581500,625000,618500,8,64,5.1
TRAFALGAR,178000,181000,210000,205500,216000,247500,280000,285000,283000,311000,310000,272500,0,74,5.7
TRARALGON,180000,194500,215000,225000,230000,256500,270000,260000,269500,275000,272500,270000,-1,51,4.2
TRARALGON EAST,289000,298500,320000,337500,380000,388000,405000,400000,435000,440000,432500,425000,-2,50,4.1
TRAVANCORE,460000,650000,610000,468500,640000,625000,525000,810000,905000,848000,1000000,650000,18,117,8.1
TRENTHAM,200000,240000,216000,245000,237500,300000,287000,331500,407500,340000,422500,460000,24,111,7.8
TRUGANINA,286000,275000,279000,301000,320000,345000,350000,341000,360000,390000,400000,413500,3,40,3.4
TULLAMARINE,262500,265000,290000,332500,380000,440000,420000,393500,395000,413500,470000,431500,14,79,6
TUNGAMAH,117500,117500,155000,150000,124000,125000,135000,86000,89000,140000,117500,64000,-16,NA,0
TYABB,220000,240000,270000,270000,291500,346000,350000,372500,370500,367500,395000,417500,7,80,6
UPPER FERNTREE GULLY,275000,294000,324500,365000,350000,427500,400000,408500,437500,500000,515000,598000,3,87,6.5
UPWEY,270000,305000,338000,345000,380500,415500,415000,422500,422500,476000,515000,530500,8,91,6.7
VENTNOR,282500,272500,340000,365000,383500,380000,365000,386500,370000,377500,425000,405000,13,50,4.2
VENUS BAY,204000,190000,200000,217000,238000,239000,265500,238500,242500,237000,235000,258000,-1,15,1.4
VERMONT,347000,360000,455500,455500,520000,610000,553000,571000,610000,725000,855000,790000,18,146,9.4
VERMONT SOUTH,401000,437000,530500,570000,590000,694500,672500,654500,722500,815000,1005500,1072000,23,151,9.6
VIEWBANK,403500,411500,456000,484000,520500,625000,603500,589000,632000,725000,820000,835000,13,103,7.3
VIOLET TOWN,155000,150000,132500,175000,180000,172500,170000,204500,215000,199500,199000,235000,0,28,2.5
WAHGUNYAH,170000,200000,188500,200000,190000,245000,190000,244000,190000,213500,267000,NA,25,57,4.6
WALLAN,242000,262000,260000,269000,288000,330000,350000,336500,342500,360000,360000,337500,0,49,4.1
WALLAN EAST,219000,225000,240000,225000,230000,290000,305000,315000,312500,306000,310000,350000,1,42,3.5
WANDANA HEIGHTS,383500,406000,390000,470000,460000,540000,592500,557500,540000,582000,590000,590000,1,54,4.4
WANDIN NORTH,230000,256000,284000,284500,335000,410000,380500,380000,406500,439500,476500,516000,8,107,7.6
WANGARATTA,200000,215000,220500,215000,228000,240000,242500,240000,240000,255000,272000,245000,7,36,3.1
WANTIRNA,320000,335000,405000,430000,455500,544500,528000,515000,575500,667500,791000,705000,19,147,9.5
WANTIRNA SOUTH,358500,376000,453500,486000,533000,571000,580000,542500,579000,739000,900000,775500,22,151,9.6
WARBURTON,205000,228500,241000,250000,259000,300000,315000,300000,310000,315000,325000,334000,3,59,4.7
WARNEET,222500,247500,221000,223500,275000,332500,295000,284000,337000,355000,395000,NA,11,78,5.9
WARRACKNABEAL,81000,85000,84000,97000,90000,88000,115000,105000,107500,110000,109500,99000,0,35,3.1
WARRAGUL,218000,225000,245500,241500,247500,280000,295000,300000,315000,320000,307000,350000,-4,41,3.5
WARRANDYTE,391500,445000,519000,533000,575000,635000,663500,620000,640000,764000,829000,843000,9,112,7.8
WARRANWOOD,415000,450000,495000,525000,555000,636500,632500,654000,603000,665000,786000,795000,18,89,6.6
WARRNAMBOOL,254000,270000,279000,295000,295000,320000,320000,316000,325000,323000,330000,311000,2,30,2.7
WATERWAYS,493000,394500,525000,580000,535000,608000,688000,682000,667000,845000,902000,655000,7,83,6.2
WATSONIA,295000,305000,346000,400000,431000,505000,500000,458500,505000,555000,615000,625000,11,108,7.6
WATSONIA NORTH,302500,335500,374000,395000,435000,529000,470500,462000,510000,572500,630500,360000,10,108,7.6
WATTLE GLEN,345000,352500,381000,440000,450000,490000,569500,527000,475000,500000,569000,580000,14,65,5.1
WAURN PONDS,335000,329000,352500,375000,372500,435000,421000,452500,446500,470000,480000,490000,2,43,3.7
WEDDERBURN,80000,105000,125000,95000,70000,140000,123000,122500,149000,135000,95000,55000,-30,19,1.7
WENDOUREE,190000,187000,195000,196000,205000,230000,235000,236500,243500,247000,250000,245000,1,32,2.8
WENDOUREE WEST,135000,136500,153500,125000,163500,186000,166000,167500,200500,165000,207500,203000,26,54,4.4
WERRIBEE,210000,219000,221000,240000,263500,308000,315000,300000,309000,315000,338000,361000,7,61,4.9
WERRIBEE SOUTH,390000,326500,375000,347000,420000,419000,455500,440000,538000,600000,665000,397500,11,71,5.5
WESBURN,205000,212000,260000,260000,278000,330000,327000,290000,312500,288500,395000,NA,37,93,6.8
WEST FOOTSCRAY,301500,321000,395000,433500,473500,558500,515000,527500,545000,632500,707000,576500,12,134,8.9
WEST MELBOURNE,400000,518000,570000,560000,730000,804500,590500,620000,840000,971500,1005000,NA,3,151,9.7
WEST WODONGA,250000,270000,269000,255000,265000,281500,275000,268500,272500,296000,305000,291000,3,22,2
WESTALL,292500,300000,410000,429000,410000,480000,470000,475500,515000,563000,640000,677500,14,119,8.1
WESTGARTH,492500,495000,655000,643000,765000,891500,951000,825000,920000,1100000,1282500,737500,17,160,10
WESTMEADOWS,275000,271500,266500,295000,345000,410000,397500,377500,388500,419000,447500,420000,7,63,5
WHEELERS HILL,400000,422500,520000,545500,615000,686500,650000,667500,740000,803500,1000000,1100500,24,150,9.6
WHITE HILLS,197000,203500,211000,202500,220000,255000,265000,273000,280000,312500,295500,320000,-6,50,4.1
WHITTINGTON,194000,178000,190000,210000,207500,245000,265000,252000,259000,262000,280000,250000,7,44,3.7
WHITTLESEA,290000,283500,300000,318000,330000,345000,371500,365000,375000,376000,400000,432500,6,38,3.3
WILLIAMS LANDING,290000,346000,328000,329000,355000,367500,371000,450000,470000,450000,524000,500000,16,81,6.1
WILLIAMSTOWN,625000,595000,750000,749000,800000,884000,895000,910000,913000,970000,1120000,1011000,15,79,6
WILLIAMSTOWN NORTH,409000,441500,521000,498500,500000,680000,839000,680000,680000,792000,850000,800000,7,108,7.6
WIMBLEDON HEIGHTS,187500,210000,266000,252500,260000,299000,259000,290000,271500,310000,291500,295000,-6,56,4.5
WINCHELSEA,198000,210000,175000,196000,206000,235000,260000,268500,287000,287500,262000,299500,-9,32,2.8
WINDSOR,489000,585000,727500,731500,779500,856000,822000,815500,825000,961000,1113000,1850000,16,128,8.6
WINTER VALLEY,331000,260000,270000,284000,276000,325000,325000,353500,340000,340500,365000,381500,7,10,1
WODONGA,226000,245000,239500,242000,240000,262000,277500,255500,283000,295000,295000,295000,0,31,2.7
WOLLERT,-,-,-,-,403000,425000,450000,410000,400000,395000,438000,452500,11,NA,NA
WONGA PARK,450000,434000,500500,505000,667000,620000,672500,622500,674500,675000,735000,317000,9,63,5
WONTHAGGI,190000,198000,220000,227500,250000,275000,261500,229000,231000,253000,260000,262500,3,37,3.2
WOODEND,256000,308000,325000,339000,339000,480000,477500,430000,470000,455000,492500,500000,8,92,6.8
WOOLAMAI WATERS,225000,240000,251000,271000,280000,342500,350000,347500,349500,383000,340000,372000,-11,51,4.2
WOORI YALLOCK,198000,210000,219000,257000,278000,300000,312000,315000,330000,317000,359500,345000,13,82,6.1
WURRUK,170000,166500,179000,225000,223000,175500,216500,235000,285000,222000,237500,NA,7,40,3.4
WY YUNG,395000,252500,270000,280000,269000,289000,288500,325000,283000,285000,290000,327000,2,-27,-3
WYCHEPROOF,56000,100000,102500,91000,115000,86000,86000,96500,95000,103000,108000,100000,5,93,6.8
WYE RIVER,391000,510000,520000,454000,635000,760000,680000,557500,813000,646500,517000,1652500,-20,32,2.8
WYNDHAM VALE,195000,212000,215000,233000,260000,298000,290000,287000,288500,305000,325000,350000,7,67,5.2
YACKANDANDAH,233000,270000,229000,220000,225000,289000,295000,272500,327500,318000,300000,359000,-6,29,2.6
YALLAMBIE,335000,345500,371000,410000,442500,507000,506000,471000,532500,580000,665000,645000,15,99,7.1
YALLOURN NORTH,98500,96000,118500,125000,120000,145000,139000,161000,135000,145000,153500,117000,6,56,4.5
YARRA GLEN,273500,290000,320000,315000,365000,415000,430000,395000,420000,460000,515000,512500,12,88,6.5
YARRA JUNCTION,212500,285000,242000,308500,284000,350000,370000,397000,403000,352000,417500,404500,19,96,7
YARRAGON,185000,166500,197000,185000,196500,206000,255000,266000,258000,303500,272000,225000,-10,47,3.9
YARRAM,160000,180000,172000,178500,180000,166000,201000,215000,190000,202500,245000,205000,21,53,4.4
YARRAVILLE,365000,385000,490000,510000,541000,644000,610000,607000,692500,715500,816000,800000,14,124,8.4
YARRAWONGA,251000,258500,268500,273000,277500,297000,267500,300000,305000,297000,300000,308000,1,20,1.8
YEA,208000,220000,213000,225000,217000,240000,270000,255000,257500,255000,262500,264000,3,26,2.4
YINNAR,155000,150000,167500,197500,183000,280500,208000,221500,220000,240000,182500,NA,-24,18,1.6
